Symbol,Name,Type,Sector,Industry,Price,Market Cap ($B),Analyst Rating,Price Target Low,Price Target Average,Price Target High,Avg Target Implied %,Short Buy,Long Buy,Fundamental Buy,1D,1M,3M,6M,YTD,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,Simulation Period,Investment Amount ($),Estimated Value ($),Profit / Loss ($),Simulation Return %,Signal Reasons
AEM,Agnico Eagle Mines Limited Common Stock,Stock,Basic Materials,Precious Metals,206.25,104.684455838,Strong Buy,87,214.97571,300,4.2306472727272615,true,true,true,-4.265689907753167,43.51818966277876,16.175760875684418,-17.6754922946848,22.178053759862195,119.52869542699732,46.03740027348384,8.978131384122822,1.0762957499907744,-22.809534419056664,16.17633798736837,54.17913581583185,-11.506248207105418,10.917019123075033,61.43767441335963,6.801460565478967,-4.9591532490307895,-48.288105069357535,47.15350669533556,-52.120274806769416,42.47086278436991,5.614685236443595,-5.807298265357231,32.896610468390406,108.94605373251008,10Y,10000,94527.87768329843,84527.87768329843,845.2787768329844,Short technical: price above 20-day average; 20-day average above 50-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy
NVDA,NVIDIA Corporation Common Stock,Stock,Technology,Semiconductors,217.5500030517578,5242.955,Strong Buy,180,305.7931,500,40.56221361083965,false,true,true,-4.574959589106332,10.425871335278458,1.6586044862714866,22.927558104385028,16.791075769845843,38.91652029739279,171.24928099396382,239.01721893043756,-50.26464946696683,125.482100341767,122.29564064462126,76.94306233826762,-30.81524980359971,81.9879156640959,226.9602000637317,67.11561264466668,27.39577144691181,33.523826243541485,-10.97332701274546,-10.000011834663658,-17.558880212148143,131.47446786201112,-76.278648591084,37.88176461401442,102.4613211350458,10Y,10000,2709214.966894191,2699214.966894191,26992.149668941915,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive
BKNG,Booking Holdings Inc. Common Stock,Stock,Consumer Discretionary,Transportation Services,205.6300048828125,154.506372215,Strong Buy,188,237.80556,301,15.647305526021938,false,true,true,1.5156039500497709,3.170943455739472,21.391433309048136,21.84485787837076,-3.5459863971188943,8.588271539403403,41.30706527528811,76.01623336643438,-16.00305295889961,7.720664051287973,8.449998496703138,19.23514620408804,-0.8816024202872752,18.531287725048216,14.989587683575278,11.81713227715877,-1.9089711707967691,87.36600659079008,32.644164734946955,17.059185007170118,82.93578137109496,196.55120202614935,-35.87845177731958,163.37992438541428,95.38531648096584,10Y,10000,41177.68985986822,31177.689859868216,311.7768985986822,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 3-year annualized return positive; 5-year annualized return positive
EQIX,Equinix Inc. Common Stock REIT,Stock,Real Estate,Real Estate Investment Trusts,1044.4100341796875,103.053695575,Strong Buy,1060,1234.5518,1400,18.20566248864659,false,true,true,-2.976442793026035,1.405053465823447,-1.8738435710377253,8.245299807403539,38.39647343078782,-16.879916730660625,19.450905455684577,25.405216245910168,-21.126289137389453,20.27664588384901,24.220154416878103,68.86126148873346,-20.413896889242444,29.19561924002747,20.692027298569293,42.30276621101788,32.78557086448597,-13.942769090727303,103.35307544620198,24.78462386706628,-23.447940689873093,99.56759739566886,-47.37309135054964,33.65507586308705,85.52499632086459,10Y,10000,42553.504087927984,32553.504087927984,325.53504087927985,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive
SCCO,Southern Copper Corporation Common Stock,Stock,Basic Materials,Metal Mining,209.8000030517578,175.042791919,Sell,126.97628,169.05853,275,-19.419195643055765,false,false,false,-2.996114187216903,17.232898514135385,7.655992300450309,-2.429904273896333,50.36094624212814,66.54655998490493,9.418935501437108,50.02557779506552,4.170757048745721,-0.6789150289778112,58.72197332397518,46.47917218419808,-33.13401516760868,50.75961095449257,23.097164422445672,-6.321754636919708,-0.3058107161584167,-22.617554805861463,38.9943048062666,-33.63633206493485,55.84578394463367,108.9065932323256,-50.517366078386814,110.00675597519492,78.81148567046719,10Y,10000,122706.34478396409,112706.34478396409,1127.0634478396407,Long technical: price above 200-day average; 50-day average above 200-day average; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive
MNST,Monster Beverage Corporation,Stock,Consumer Staples,Beverages (Production/Distribution),46.86000061035156,137.701886213,Strong Buy,35,50.28261,57,7.303903852046401,false,true,true,0.3426120873622817,-52.0564746935382,-46.74394618931287,-45.064479561720376,-38.8809159652075,45.87137778863544,-8.765837846828884,13.48370196592359,5.716365901118947,3.849478189196942,45.52321710021656,29.1141764749284,-22.23099935423185,42.73793571882394,-10.700863008634387,37.480400605549335,59.87899354811255,28.25510100211599,14.695045797174377,76.24327799213557,36.14584302684898,14.524292922975256,-24.294408001407707,31.502346879442467,70.94279653171856,10Y,10000,18874.865130892555,8874.865130892555,88.74865130892556,Fundamental/consensus: Nasdaq Strong Buy
CSCO,Cisco Systems Inc. Common Stock (DE),Stock,Telecommunications,Computer Communications Equipment,109.93000030517578,433.281912723,Strong Buy,115,137.73914,170,25.297134192325554,false,true,true,-1.9794928136410703,-4.888390237385199,-6.994902347437537,39.61634814377415,44.79136771327485,33.4737272719652,20.995634902764102,9.29591687054141,-22.462756974127927,45.7613225398958,-3.486445657839388,13.812617724426746,16.571573491612178,31.26829762217045,15.133657844336934,0.6195640664942381,27.975852050535654,16.72658269311831,11.605528458009395,-9.61721227211174,-15.497048391615277,46.871201921036906,-39.78575513465897,-0.9513202549610966,59.63786146954464,10Y,10000,55898.26018483918,45898.26018483918,458.98260184839177,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive
GS,Goldman Sachs Group Inc. (The) Common Stock,Stock,Finance,Investment Bankers/Brokers/Service,1033.989990234375,301.068324158,Buy,730,1141.65,1325,10.412094003078476,false,true,false,-0.6609859939365359,0.0629051846984918,2.992648268471032,21.45754282246301,18.77276474976304,56.63768108302458,52.03131950973818,15.90556168298658,-7.871024942086935,47.61122563584364,17.45375733799537,40.47898834091388,-33.525241728014066,7.734053559528431,34.92308291001373,-5.789610783348587,10.78531319121394,40.79358245941294,43.39200658818443,-45.597658341760685,0.5424089196509607,102.54830776810311,-60.418877669995496,8.592072853639454,57.393193877944015,10Y,10000,71078.84899864976,61078.84899864976,610.7884899864976,Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive | Consensus confirmation: Nasdaq Buy
T,AT&T Inc.,Stock,Telecommunications,Telecommunications Equipment,26.01000022888184,178.230550757,Strong Buy,20,28.70652,36,10.367242396729814,true,true,true,2.280770415830502,5.4744541355356,5.941602239663779,-4.9120382395445255,8.479852037467928,13.97779442461513,44.10037396566597,-2.731087737991056,6.468478445813219,-5.900943872183673,-19.64940644103399,48.48106312251985,-20.77642711343589,-2.461929336199753,31.993196258143385,10.3145201227675,2.393218723604429,11.553638676149337,19.52258911903504,11.09559784906864,13.918532785125514,6.836211447427654,-26.91680487635604,22.064189250042787,55.58436377704539,10Y,10000,21127.840208589823,11127.840208589823,111.27840208589825,Short technical: price above 20-day average; 20-day average above 50-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy
PBR,Petroleo Brasileiro S.A. Petrobras ADS,Stock,Energy,Oil & Gas Production,18.530000686645508,119.41410904,Buy,17.4,22.03079,27,18.892548211708892,true,true,false,1.5342503377836048,5.55336748034454,2.072827983865966,16.253891984553583,63.14786029855799,-1.056972500105302,-2.260878617327833,89.18122438445893,57.23081201915812,20.42636837891112,-28.883009207310373,23.7314915706635,27.68382727203058,1.780433171742879,135.11623969456338,-41.0958607521173,-45.25165505040844,-28.217107620828084,-19.776154844931405,-32.14083850464914,-18.158937342981584,100.01037332181672,-55.69825781018669,131.39668130561444,51.23616103605808,10Y,10000,151952.8049713223,141952.8049713223,1419.528049713223,Short technical: price above 20-day average; 20-day average above 50-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive | Consensus confirmation: Nasdaq Buy
