Symbol,Name,Sector,Industry,Type,MarketCap,Price,NAV,Analyst Rating,Rating Source,Rating Updated ET,Price Target High,Price Target Average,Price Target Low,Price Target Updated ET,1D,1M,3M,6M,YTD,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,Since Inception,Short Buy,Long Buy,Fundamental Buy,Short Signal New,Long Signal New,Signal Reasons,Signal Updated ET,Short Signal Score,Long Signal Score,Return Basis,Snapshot Updated ET,Universe Source
TSLA,Tesla Inc. Common Stock,Industrials,Auto Manufacturing,Stock,1377404653658.0,348.75,,Buy,Nasdaq Stock Screener analyst consensus,"Aug 30, 2026 01:03:23 PM EDT",600.0,390.09283,125.0,"Aug 30, 2026 01:03:40 PM EDT",-1.707955694679375,12.918890434831765,-19.97292430717802,-13.356192010461697,-22.451747964652213,11.360936335891058,62.52414813331912,101.72105464518206,-65.03151169866453,49.755559240135774,743.4369946079432,25.700118885476808,6.88935444900336,45.70171108421774,-10.96621296709317,7.913318504879152,47.84948772420981,344.1394113109243,18.59242883286971,7.247485038347645,,,,,,,False,False,False,False,False,,"Aug 30, 2026 01:03:40 PM EDT",4,3,Adjusted total return,"Aug 30, 2026 01:03:40 PM EDT",Nasdaq Stock Screener
SKHY,SK hynix Inc. American Depositary Shares,Technology,Semiconductors,Stock,1173765001200.0,161.0399932861328,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Aug 30, 2026 01:03:23 PM EDT",355.0,246.96892,152.0,"Aug 30, 2026 01:03:40 PM EDT",-0.35270547742466407,8.080532406800556,,,-4.148563447765319,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,Fundamental/consensus: Nasdaq Strong Buy,"Aug 30, 2026 01:03:40 PM EDT",3,0,Adjusted total return,"Aug 30, 2026 01:03:40 PM EDT",Nasdaq Stock Screener
BRK-A,Berkshire Hathaway Inc.,,,Stock,1114900443599.0,757985.0,,Not Rated,Nasdaq Stock Screener — no consensus rating returned,"Aug 30, 2026 01:03:23 PM EDT",906011.0,799502.75,735000.0,"Aug 30, 2026 01:03:40 PM EDT",0.2701261867627647,-0.9156982444214923,6.623294415529601,0.13011889035667856,0.4219660837307959,10.850026434823468,25.48629348076481,15.769632033385172,4.004997093165175,29.569455026378975,2.4220383403515955,10.977124183006538,2.822580645161299,21.906759352943816,23.418099089989887,-12.477876106194685,27.037661607644736,32.701775324481574,16.822796392314054,-4.728102947281032,21.421370967741925,2.69151138716357,-31.779661016949156,28.73897627057005,24.114195441209652,,False,False,False,False,False,Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Aug 30, 2026 01:03:40 PM EDT",3,6,Adjusted total return,"Aug 30, 2026 01:03:40 PM EDT",Nasdaq Stock Screener
BRK-B,Berkshire Hathaway Inc.,,,Stock,1114187242355.0,505.0,,Not Rated,Nasdaq Stock Screener — no consensus rating returned,"Aug 30, 2026 01:03:23 PM EDT",604.0,547.6667,510.0,"Aug 30, 2026 01:03:40 PM EDT",0.25808770328845654,-0.9182217750419497,6.4323023745991526,0.009899552779546461,0.46752335264119704,10.89172150770894,27.090224338337322,15.461317808128495,3.311034747988084,28.951570404305606,2.370858771385209,10.931534981324464,3.0067558361288382,21.622288880211006,23.432296284928423,-12.061272958050772,26.644734301954152,32.173914818530115,17.562245557702717,-4.755957470435268,21.895920758314436,2.2402029694344794,-32.13682648765942,29.187127134412094,24.885029531903946,,False,False,False,False,False,Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Aug 30, 2026 01:03:40 PM EDT",3,6,Adjusted total return,"Aug 30, 2026 01:03:40 PM EDT",Nasdaq Stock Screener
LLY,Eli Lilly and Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,1105727422120.0,1174.6099853515625,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Aug 30, 2026 01:03:23 PM EDT",1600.0,1315.0406,850.0,"Aug 30, 2026 01:03:40 PM EDT",-0.12668907961099762,1.846215723475142,6.4518712758762975,12.008487702283688,9.826614335913074,40.24556356773967,33.30107435106848,60.90904658673202,34.25536696079459,66.07810539634274,31.03987263748669,16.139939393917334,40.45477952663696,17.83430873937826,-10.368842449471282,25.39248996053565,39.75358583016777,7.286570648192736,24.239393788387332,25.178995380211646,3.6568058834848705,-6.241615188148996,-21.302119672818343,5.6705605715692275,-5.174582530297512,,False,True,True,False,True,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Aug 30, 2026 01:03:40 PM EDT",3,6,Adjusted total return,"Aug 30, 2026 01:03:40 PM EDT",Nasdaq Stock Screener
MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,Stock,1053565694842.0,932.8599853515625,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Aug 30, 2026 01:03:23 PM EDT",2200.0,1513.409,361.0,"Aug 30, 2026 01:03:40 PM EDT",-0.27047854448456476,6.654015731141061,-3.9131374518134754,126.34900848876644,227.03669111314383,240.2392899309635,-0.9614385409819737,71.93118601548943,-45.92973797654709,24.208117060304744,39.79178740001061,69.49255917054622,-22.83560275191897,87.59121918651773,54.80226854965626,-59.554410932748155,60.965485821667386,243.06006146991442,0.794900583202307,-21.571083304793394,-24.053005027480502,300.0,-63.586217897483735,-48.0658952268695,4.883519293437333,,False,True,True,False,True,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Aug 30, 2026 01:03:40 PM EDT",4,6,Adjusted total return,"Aug 30, 2026 01:03:40 PM EDT",Nasdaq Stock Screener
JPM,JP Morgan Chase & Co. Common Stock,Finance,Major Banks,Stock,950620547056.0,357.6199951171875,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Aug 30, 2026 01:03:23 PM EDT",420.0,374.57144,305.0,"Aug 30, 2026 01:03:40 PM EDT",0.9598537306666488,1.9295963790505022,20.01972591627956,20.23626388114943,12.56227982933671,37.266287466177616,44.288169955213206,30.62667559322336,-12.641231201421121,27.745790942196223,-5.534766130263469,47.25698975443633,-6.623779582771327,26.75875567845962,34.53637835867411,8.37253726752476,9.882810942571219,36.73336249596992,36.18055806829652,-19.917989146171735,2.3074749462499877,34.3693362652326,-25.14211643367069,-6.876056017782261,25.639148948466172,,False,True,True,False,True,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Aug 30, 2026 01:03:40 PM EDT",4,6,Adjusted total return,"Aug 30, 2026 01:03:40 PM EDT",Nasdaq Stock Screener
WMT,Walmart Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,Stock,820398380089.0,103.08999633789062,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Aug 30, 2026 01:03:23 PM EDT",155.0,127.725,81.0,"Aug 30, 2026 01:03:40 PM EDT",0.44821114370372506,-6.987579264447952,-10.724152398193631,-18.916381730308785,-6.878665535426521,24.489678958606966,73.99230638328362,12.881445381810197,-0.46387646420050777,1.9708415568956417,23.32238263005859,30.1630054688389,-3.4319719734925758,46.56075723565933,16.031211985175077,-26.636620215832696,11.870893142499028,18.163703308180356,16.988956828961975,13.844827507142309,3.2195987558549355,-2.583284190830659,20.004639397514246,4.890933724799917,0.1326679486653104,,False,True,True,False,True,Fundamental/consensus: Nasdaq Strong Buy,"Aug 30, 2026 01:03:40 PM EDT",0,3,Adjusted total return,"Aug 30, 2026 01:03:40 PM EDT",Nasdaq Stock Screener
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,Stock,760047730054.0,465.5799865722656,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Aug 30, 2026 01:03:23 PM EDT",1250.0,613.8449,365.0,"Aug 30, 2026 01:03:40 PM EDT",-2.326562725379,-4.081259910243529,-9.788798954372291,132.54581237672875,117.39819696063964,77.29944700627904,-18.058477773055305,127.58995106091228,-54.98957651821777,56.90763857051218,99.97818984714925,148.42905138021374,79.57198019437331,-9.347446255323,295.12197229160637,7.490629346450928,-31.007747926374375,61.24998882412955,-55.55555457440915,-33.985331370334336,-15.495867280065767,348.1481444688493,-71.19999885559082,-63.14496383582706,-33.49673160856245,,False,True,True,False,True,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Aug 30, 2026 01:03:40 PM EDT",0,6,Adjusted total return,"Aug 30, 2026 01:03:40 PM EDT",Nasdaq Stock Screener
V,Visa Inc.,Consumer Discretionary,Business Services,Stock,681825793860.0,381.6000061035156,,Strong Buy,Nasdaq Stock Screener analyst consensus,"Aug 30, 2026 01:03:23 PM EDT",460.0,417.90216,330.0,"Aug 30, 2026 01:03:40 PM EDT",0.5109841496848455,4.378990089885537,17.1433177938783,19.666848306775407,9.46123366389262,11.758294996157147,22.31830991865118,26.30797549035242,-3.404731411124562,-0.31489599524948675,17.124170706274676,43.32698154181234,16.487599565918632,47.176546096354954,1.371173364452094,19.137382517033362,18.635852449870228,48.05639447699859,50.46687417372717,45.408016373181994,-18.991719973868815,67.86055268940554,,,,,True,True,True,True,True,Short technical: price above 20-day average; 20-day average above 50-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive,"Aug 30, 2026 01:03:40 PM EDT",6,6,Adjusted total return,"Aug 30, 2026 01:03:40 PM EDT",Nasdaq Stock Screener
