Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,Includes Semiconductor,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,10Y CAGR %
21,Best Worst Year,TJX + PBR + LLY + DE,TJX,Consumer Discretionary,PBR,Energy,LLY,Health Care,DE,Industrials,No,19.825006,17.289808,41.075013,31.201197,32.047581,18.092148,24.230904,21.046294,19.476528,42.760992,2024,17.289808,100000.0,916272.78,816272.78,816.272785,24.796521
22,Best Worst Year,ORCL + PBR + LLY + TMO,ORCL,Technology,PBR,Energy,LLY,Health Care,TMO,Industrials,No,17.273506,22.326923,44.419045,17.388767,41.733396,17.531817,26.191168,20.844785,19.89444,32.879357,2025,17.273506,100000.0,871666.77,771666.77,771.666773,24.175252
23,Best Worst Year,AMD + TMUS + PGR + MPC,AMD,Technology,TMUS,Telecommunications,PGR,Finance,MPC,Energy,Yes,21.717005,17.245349,49.057331,19.787665,28.688652,46.508744,50.724165,20.222732,24.363293,89.438983,2024,17.245349,100000.0,2335773.27,2235773.27,2235.773272,37.038649
24,Best Worst Year,AVGO + PBR + LLY + DE,AVGO,Technology,PBR,Energy,LLY,Health Care,DE,Industrials,Yes,25.301705,37.272125,62.198616,26.200915,42.962132,26.248613,21.804662,17.216172,30.657608,46.833059,2018,17.216172,100000.0,1571432.8,1471432.8,1471.432801,31.713285
25,Best Worst Year,RIO + AVGO + PBR + LLY,RIO,Basic Materials,AVGO,Technology,PBR,Energy,LLY,Health Care,Yes,33.571751,31.543758,66.333263,24.173088,35.647765,20.814261,26.610897,17.208579,28.162564,46.909606,2018,17.208579,100000.0,1538133.87,1438133.87,1438.133868,31.431485
26,Best Worst Year,SHOP + TJX + XOM + MRK,SHOP,Technology,TJX,Consumer Discretionary,XOM,Energy,MRK,Health Care,No,26.469645,18.015182,34.717289,17.190444,23.459998,38.387083,63.856501,20.220554,33.441097,27.114089,2022,17.190444,100000.0,1815337.32,1715337.32,1715.33732,33.627466
27,Best Worst Year,MSFT + PBR + LLY + CAT,MSFT,Technology,PBR,Energy,LLY,Health Care,CAT,Industrials,No,28.769359,17.156541,58.557577,20.515061,38.73376,17.914214,29.235786,17.843942,33.844766,45.482762,2024,17.156541,100000.0,1129542.01,1029542.01,1029.542012,27.435445
28,Best Worst Year,FTNT + PBR + LLY + CAT,FTNT,Technology,PBR,Energy,LLY,Health Care,CAT,Industrials,No,20.885686,29.280084,48.939191,19.52528,61.107371,17.061984,27.742046,27.9461,34.92539,40.871169,2020,17.061984,100000.0,1199113.36,1099113.36,1099.113357,28.199409
29,Best Worst Year,NEM + FTNT + MPC + LLY,NEM,Basic Materials,FTNT,Technology,MPC,Energy,LLY,Health Care,No,54.070645,20.708541,25.581489,17.031415,69.113639,20.766132,26.072403,21.819586,27.143288,19.270996,2022,17.031415,100000.0,981335.76,881335.76,881.335757,25.655575
30,Best Worst Year,AEM + NOW + COP + MRK,AEM,Basic Materials,NOW,Technology,COP,Energy,MRK,Health Care,No,24.806717,19.416124,23.482389,20.501308,20.868612,16.975638,35.410516,20.157097,24.193453,18.126618,2020,16.975638,100000.0,553885.39,453885.39,453.885395,18.670287
31,Best Worst Year,ASML + PGR + PBR + LLY,ASML,Technology,PGR,Finance,PBR,Energy,LLY,Health Care,No,23.001307,18.683473,53.287842,21.942536,40.369177,27.480182,39.559116,16.963962,34.41492,41.886069,2018,16.963962,100000.0,1173038.74,1073038.74,1073.038743,27.917875
32,Best Worst Year,RIO + FTNT + PBR + LLY,RIO,Basic Materials,FTNT,Technology,PBR,Energy,LLY,Health Care,No,16.925893,19.275901,45.216641,19.494536,57.019372,19.37554,32.243761,31.604077,27.379317,40.156043,2025,16.925893,100000.0,1076806.87,976806.87,976.806874,26.827602
33,Best Worst Year,SHOP + IBN + XOM + MRK,SHOP,Technology,IBN,Finance,XOM,Energy,MRK,Health Care,No,19.435511,16.955606,32.247088,18.325215,28.646656,34.942491,65.919318,16.923799,43.583734,24.690976,2018,16.923799,100000.0,1802373.91,1702373.91,1702.373907,33.531734
34,Best Worst Year,SHOP + COP + LLY + LMT,SHOP,Technology,COP,Energy,LLY,Health Care,LMT,Industrials,No,22.939626,16.912702,45.753636,17.905662,44.378513,43.3052,65.620237,19.204227,49.285689,21.074392,2024,16.912702,100000.0,2079209.42,1979209.42,1979.209418,35.453373
35,Best Worst Year,ANET + PBR + LLY + NEE,ANET,Telecommunications,PBR,Energy,LLY,Health Care,NEE,Utilities,No,18.302709,35.05838,54.718067,16.839865,51.946002,18.769404,19.77317,17.970281,49.363485,41.874093,2022,16.839865,100000.0,1384552.59,1284552.59,1284.55259,30.056166
36,Best Worst Year,VZ + PGR + BHP + LLY,VZ,Telecommunications,PGR,Finance,BHP,Energy,LLY,Health Care,No,18.051967,18.299835,25.819829,17.44111,17.569213,24.439544,19.902939,17.915126,29.317375,16.77009,2016,16.77009,100000.0,761979.96,661979.96,661.979963,22.516436
