Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,2025,2024,2023,2022,2021,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,5Y CAGR %,Ranking Start Year,Ranking End Year
19,Best Worst Year,MPC + MCK + CAT + AVGO,MPC,Energy,MCK,Health Care,CAT,Industrials,AVGO,Technology,43.662303905001096,38.69224740494504,46.181880810676304,35.94331591128673,44.41673513821543,2022,35.94331591128673,2023,46.181880810676304,100000.0,539715.6332800019,439715.63328000193,439.71563328000195,40.09834327276085,2021,2025
20,Best Worst Year,MPC + SMFG + MCK + AVGO,MPC,Energy,SMFG,Finance,MCK,Health Care,AVGO,Technology,37.474653963281305,46.25472542234941,44.86925787973905,35.82232009698109,42.94048346977071,2022,35.82232009698109,2024,46.25472542234941,100000.0,535545.8576920497,435545.8576920497,435.54585769204965,39.88119470555254,2021,2025
21,Best Worst Year,XOM + SMFG + MCK + AVGO,XOM,Energy,SMFG,Finance,MCK,Health Care,AVGO,Technology,36.67661808331571,50.084189393107266,35.68884262732463,36.01889750851852,42.0840728781794,2023,35.68884262732463,2024,50.084189393107266,100000.0,512801.5680773852,412801.5680773852,412.8015680773852,38.67234794144816,2021,2025
22,Best Worst Year,COST + MPC + MCK + HWM,COST,Consumer Discretionary,MPC,Energy,MCK,Health Care,HWM,Industrials,36.56768435923729,40.48637068255984,35.35973936137422,35.88979208296986,42.18085855229222,2023,35.35973936137422,2021,42.18085855229222,100000.0,476039.0682006544,376039.0682006544,376.03906820065436,36.62447914233597,2021,2025
23,Best Worst Year,MPC + ING + LLY + HWM,MPC,Energy,ING,Finance,LLY,Health Care,HWM,Industrials,58.90973174888545,36.049902359255064,40.270997337098294,35.20762017937397,48.54166808131772,2022,35.20762017937397,2025,58.90973174888545,100000.0,565494.5608099819,465494.5608099819,465.4945608099819,41.411811742122026,2021,2025
24,Best Worst Year,WMT + MPC + LLY + HWM,WMT,Consumer Discretionary,MPC,Energy,LLY,Health Care,HWM,Industrials,42.96459950729754,51.485631507404364,35.522785546440296,36.14479035185633,35.18097828588833,2021,35.18097828588833,2024,51.485631507404364,100000.0,523815.93578079593,423815.93578079593,423.815935780796,39.26299833903097,2021,2025
25,Best Worst Year,MPC + LLY + HWM + ORCL,MPC,Energy,LLY,Health Care,HWM,Industrials,ORCL,Technology,41.37419576698232,47.985152335872314,40.037818578211464,35.09926895102289,43.9106516455537,2022,35.09926895102289,2024,47.985152335872314,100000.0,542530.2123876594,442530.21238765935,442.5302123876594,40.244160022936846,2021,2025
26,Best Worst Year,MPC + LLY + HWM + ADI,MPC,Energy,LLY,Health Care,HWM,Industrials,ADI,Technology,44.28033305861546,35.191445666315495,38.141485546587205,35.032690298549696,39.92928363611758,2022,35.032690298549696,2025,44.28033305861546,100000.0,511857.23353599507,411857.23353599507,411.8572335359951,38.62123668747157,2021,2025
27,Best Worst Year,VLO + BBVA + LLY + HWM,VLO,Energy,BBVA,Finance,LLY,Health Care,HWM,Industrials,79.79221851688794,36.811272422943304,41.77328973578513,35.8675885973358,35.01553608479775,2021,35.01553608479775,2025,79.79221851688794,100000.0,594377.5182102475,494377.5182102475,494.3775182102475,42.827710585047754,2021,2025
28,Best Worst Year,MA + MPC + LLY + HWM,MA,Consumer Discretionary,MPC,Energy,LLY,Health Care,HWM,Industrials,39.10161012978382,39.03114680485512,38.15339379000271,35.596120227542485,34.97842786225931,2021,34.97842786225931,2025,39.10161012978382,100000.0,502907.04930500983,402907.04930500983,402.9070493050098,38.13303200838891,2021,2025
