Symbol,Name,Sector,Type,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,Monthly Return Method,Annual Reconciliation Source,Snapshot Updated ET
NVDA,NVIDIA Corporation Common Stock,Technology,Stock,-11.134736895139497,7.4573517628506725,13.616047388260633,-0.28063387241867854,31.835942235518754,0.6207381754655295,21.46350278226661,7.62353615201512,11.705279148055947,3.8528565068411957,29.76115492589968,15.770077687351503,2.2859144971649092,-6.935241388841861,7.341324717236564,-4.250443741575582,38.54463634027958,0.1454924112961109,12.416944592358202,4.3561659439135925,5.506365974970429,15.684985044032484,-2.882141697871232,-3.5922683487150886,27.02842898747646,-1.4847654632133223,-4.301640644672078,-2.8887760247123584,12.2036643809315,-6.0628969108615145,3.3600623866275603,14.691490442179322,0.1211097322928234,-24.976851146070842,-22.404993355653847,-18.313664173149157,7.677895184963979,7.4218926807025465,16.400903881446705,0.8019330738912256,-25.074797584473473,21.238758466652573,2.7339951879529423,-0.6188878398190933,3.91613468415819,15.48228046545519,7.899702050275748,8.56324937591233,0.4802348231823794,14.296617872583607,-2.395682938412569,10.880155376913581,21.465723191706367,7.059730576294099,11.760640202688034,25.99920337344599,1.1966800419193735,-7.364854162864898,6.9211677249584325,-2.5567534615891008,-0.4998126868083763,5.579420837080651,-2.6369460702538428,12.445466949363905,8.228103355163018,23.1622190157869,-2.5171846768184847,14.821008116078005,-7.455881278133958,23.416651539003517,27.805400515881985,-9.981051223257275,-16.74541332339374,-0.4124936390052847,11.915722668892137,-32.02739100668358,0.6739352334455218,-18.797109164330628,19.816608160424032,-16.89700373110412,-19.553389875338567,11.187072779676432,25.415480593981133,-13.644148977734716,33.68688503927728,18.830935649956572,19.666268523349917,-0.10079846602824016,36.343624075182326,11.821048420662938,10.465222826046162,5.619647430860986,-11.857810441625583,-6.250700916391838,14.688574270059295,5.893414142888309,24.24175564739466,28.580951007068634,14.218126777182437,-4.376022325813289,26.88710673211081,12.694305797489847,-5.277651204904254,2.0082061019668807,1.7428215083644893,9.321458740556565,4.135283930118172,-2.8576911337693467,-10.58901794305278,4.03931226408778,-13.232492936822593,0.49824105382076933,24.063554742098002,16.92515500187184,12.583069473188502,-2.0745466347309893,7.125110299903326,8.527167560685012,-12.588268894443832,5.373090631056576,Actual adjusted month-end return from Yahoo/yfinance daily history,Market Table annual returns from the same adjusted daily history,"Sep 14, 2026 08:06:57 PM EDT"
AAPL,Apple Inc. Common Stock,Technology,Stock,-7.524258856985,-0.12872770717496929,12.721090922448909,-13.99213594613875,7.177334071344044,-4.26597315176992,9.006255038195988,2.3651904377186783,6.550439168479794,0.4334320739144415,-2.1601069908871784,4.795524670502371,4.774647950895927,13.37781616767475,4.868931612263694,-0.006958854993455166,6.780720076509028,-5.721350373259182,3.270361733340965,10.699898737941925,-6.024356255970775,9.680778537052293,2.0277700929002274,-1.5245722740723,-1.0636641728994811,6.818514603075587,-5.805046977512163,-1.5020061522519446,13.512398577428808,-0.9417953658662825,2.798315824710329,20.0421861880683,-0.8302682103772718,-3.047770096258662,-18.11974906554754,-11.669839976860219,5.515380592935926,4.477666918390821,9.702582887126997,5.643569200454146,-12.421263325589283,13.05190683548403,7.6394167241601085,-1.6460993837681959,7.29614175267097,11.068454482300583,7.755432863249578,9.878367489113549,5.400971747120309,-11.47013544401,-6.976138032942625,15.537370861913647,8.509434297443462,14.738627761890921,16.513147096704795,21.65692735812268,-10.252623594084287,-6.001225751272276,9.549339936487478,11.457368931260149,-0.5501570396588051,-7.971191170707826,0.7339589890756448,7.621760434784708,-5.049701383408445,9.910931741157825,6.49823545898085,4.248932538449401,-6.803667204999842,5.865724881679868,10.508157064108591,7.422890792823433,-1.571216155420052,-5.4065757590843315,5.747312366421453,-9.713082705262078,-5.449578984515757,-8.142978645372256,18.863351475988367,-3.120775484653948,-12.097717808840802,10.95512798937266,-3.302714262394424,-12.22728432557927,11.05212868369474,2.3183052892222555,11.86486947942944,2.8986926048566675,4.605850835445868,9.432982584158056,1.2785633108231886,-4.238384733695522,-8.867836587353949,-0.2569849781666633,11.37801256919342,1.3582496186768322,-4.222709587427675,-1.8543077974551236,-5.128662679771079,-0.6705905359740916,13.022214707731639,9.55526015738366,5.4410716472006015,3.2353486291833766,1.746722925018629,-3.042914742454561,5.170688529735168,5.515536669197063,-5.758329274912944,2.5872376696052912,-8.150003910531112,-4.335294833196479,-5.358418416464328,2.1508529195637616,1.1697776016121653,11.963882968668882,9.68812541089299,6.181504937803495,3.236433452057841,-2.506728904622013,Actual adjusted month-end return from Yahoo/yfinance daily history,Market Table annual returns from the same adjusted daily history,"Sep 14, 2026 08:06:57 PM EDT"
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Stock,-2.1413543117887235,-5.796317368031733,6.369057053744509,-7.211949811952822,5.787691193877564,-6.05193603574935,12.481350693664428,-0.18828197973562721,1.7990591642940368,0.7263281452204229,-4.200510486464692,2.1356282467405174,3.5005313981725017,3.0163786271860005,0.33967237108050163,9.049306202839148,6.767835372685926,-5.816089893026966,1.7016577661451482,1.030152878264845,1.9345851450642604,6.092114647796265,0.3029830160864,1.6628521048895895,12.22897249458379,-6.623133094668088,-6.049349493714217,-1.7895396990835755,7.993481683928061,2.6536307861837694,8.681442048088229,0.37320673617260436,-2.0068138694907867,-9.65139337814146,1.7486020724575502,-5.829756676264575,7.744787006674891,0.05861201575054764,4.468510427928152,1.8752935146418404,-7.711674254036405,-2.141912677988078,12.504630585937694,-2.271380018719471,2.5711200188750727,3.084007827002644,3.597855116009896,2.7068870450526195,6.972569682166485,-6.527853244655246,-13.23876584551572,15.899998104247048,6.446854930751256,-1.0791560558644941,4.929308725334525,9.515108009597162,-10.059955807111043,10.269496196299933,8.556981778492556,-0.10030503301400318,4.263280316510132,10.64648251389373,2.00850441638758,14.107988934629478,0.14233061439490324,3.603978442716449,10.350590057480357,7.400932221034284,-7.616950426411428,10.749905709960505,-4.15311216267299,2.0821477988192783,-6.591900497046854,-0.182179016784334,2.969490398014707,-17.94669064238995,-0.30453077098567816,-4.218459788190787,6.751824507951154,-6.963544379365061,-11.615221707751678,-1.1918321347131333,6.85641118126199,-12.634928823108204,12.025385241554808,-8.88303940453704,15.178760490396193,3.4802055845214674,14.468044405499981,-2.579970316579072,10.877210140894377,2.59945737859264,-3.8995488646956122,-5.181106325534534,6.810137606094058,5.402541117004489,0.293512704291099,-1.1706149136744615,9.006215775326499,7.851339115127476,5.971254031859319,5.715378472337251,-5.824867685179925,-4.756899338308973,1.6464913798242442,3.1715448546475677,-1.2623490571019191,12.17338964813135,7.776027271253838,-16.537593938297412,-9.080277146400517,2.6901180782505696,8.148620054283008,2.7386270666952983,8.891798842591058,10.948414473792866,14.281829662616218,15.668434622824723,13.86607789027645,-2.178548616629794,Actual adjusted month-end return from Yahoo/yfinance daily history,Market Table annual returns from the same adjusted daily history,"Sep 14, 2026 08:06:57 PM EDT"
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Stock,-2.0991503190299743,-6.081174097798359,6.761570314159071,-6.972266178028352,6.1629471243955125,-5.928900675606574,11.0807738291832,-0.2263243057397779,1.3349807983176643,0.9327221337186664,-3.3777585281580147,1.817840628202605,3.235191132965509,3.315814610002432,0.7713914188364868,9.209688921065261,6.5013786235731175,-5.81741579289382,2.3956475501451413,0.9489634586329565,2.1057575202521717,5.9982603799444645,0.4691947705634858,2.4466058070261365,11.80621408431961,-5.57379727685724,-6.602519301550358,-1.4014420855556597,6.65073336949491,2.82584595150992,9.107677812904802,0.07641804250355655,-2.0292533858296213,-9.778195713369552,1.6400808582035964,-5.374489156400298,7.798299137044906,0.31799511989873963,4.767315955914486,1.2929063572359345,-7.139366134762692,-2.0586440593751254,12.560687657719871,-2.3490095385784615,2.6007955505797264,3.3724287742006753,3.5592122062822584,2.456768471738835,7.270671991657207,-6.616778242237453,-13.179738008100673,15.98284799776184,5.95107227345455,-1.0714365791988145,4.9058929032581355,10.197164612888088,-10.07111230503498,10.302801556640473,8.619950278288968,-0.5031879769575753,4.786836792311311,10.955808711388926,1.5597589083328645,16.508007990901994,0.05975038539924871,3.929411584359088,7.904019733391965,7.573528867331647,-8.384641711084983,11.25945242947548,-3.924252975025777,1.5636983829935946,-6.2075204370348525,-0.5950489772914902,3.527639254822823,-17.674966948659186,-0.8067592827493364,-4.092024405635364,6.644723393429119,-6.421468609239966,-11.910213696843119,-1.5496552677057074,7.173036941838329,-12.538192288488526,12.554951233397894,-9.582466411769875,15.171651009330777,4.057707037396807,13.999244067707117,-1.9453661143306267,10.035526178153976,3.185365749229452,-4.004379093975685,-4.967770448206665,6.879485654663942,5.234470393704704,0.617323958948246,-1.424524294983276,8.928301643111913,8.130828026830873,5.660830671309114,5.558015143347528,-5.599160700912376,-4.6433767414773115,1.3930719979529105,3.2896619683049355,-1.2739577227230514,11.82828764501609,7.960519974377811,-16.235418775391008,-9.181282792093992,2.98278953810851,7.433641287714066,2.7499208187206747,8.720878239846531,10.71763196892761,14.160858492526573,15.713415814610965,13.590215396681703,-1.9103016627480263,Actual adjusted month-end return from Yahoo/yfinance daily history,Market Table annual returns from the same adjusted daily history,"Sep 14, 2026 08:06:57 PM EDT"
MSFT,Microsoft Corporation Common Stock,Technology,Stock,-0.7029502272770216,-6.978903303485029,8.549498832099722,-9.704869384036929,7.019674732297587,-3.4528514654736053,10.767998033341119,2.0080111476688645,0.24365117441749184,4.027764912188059,1.2468117948980728,3.1198149754149584,4.0392798618741566,-0.43639230371784743,2.938405799023003,3.9478055850458382,2.600497536695845,-1.3029832870564362,5.469290982667263,3.395307372703238,-0.37450796457794144,11.666049451128702,1.6983641109000969,1.6276419142166265,11.070867876852386,-0.8415315228797349,-2.6660946049690715,2.4652300026200225,6.146706339440322,-0.23268958949287377,7.575317881777566,6.2992581020236305,1.8160617773988141,-6.610113298172193,4.268365042728162,-8.404709514452035,2.8157678410208664,7.735756942754479,5.275373840551834,10.734288313502738,-4.948075522826612,8.311792600773993,1.7243737840928697,1.5036807925511653,0.8486612723621612,3.121642462535945,5.946277064327554,4.174889362189482,7.945439328449955,-4.568813993251075,-2.6541297723663537,13.632635997213004,2.539106866241614,11.05594894341737,0.7370505994799492,10.275172727282712,-6.7396679080724216,-3.7369859101229363,6.006054410447814,3.900604614048886,4.289173838985216,0.41179166906983866,1.4588444618381935,6.960149991311537,-0.7627334767249527,8.498882036651946,5.171633142727838,6.159138062174074,-6.611909231319069,17.629129620771323,-0.1282206054118218,1.733258099516588,-7.5344819304010935,-3.7212104597212026,3.1862145935813713,-9.986731616508271,-1.8077198316743925,-5.532048812041557,9.30967422461524,-6.666316594952615,-10.92670103491271,-0.3306001088596022,10.222295337893339,-6.004537246798048,3.3316554206305193,0.9017871542994937,15.588166070997067,6.576472609345951,7.110585618533571,3.699860286782375,-1.356668373711123,-2.2225715151685144,-3.664273641686988,7.081547632766161,12.294521291360727,-0.7574242623037075,5.728111143768855,4.231855421471398,1.7116014316245876,-7.461013126648631,6.819098609557295,7.665069091521715,-6.398913893439651,-0.1095239272367432,3.1548106738306103,-5.565877170579925,4.419239030936883,-0.4628386943113738,-1.5278763670863893,-4.161820766117774,-5.440932737992932,5.293165724287308,16.683975699601937,8.048051413440493,7.255600328831191,-4.869180823878438,2.2222678333202905,-0.027041020848439512,-4.804674418145871,-1.70525388427748,Actual adjusted month-end return from Yahoo/yfinance daily history,Market Table annual returns from the same adjusted daily history,"Sep 14, 2026 08:06:57 PM EDT"
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Stock,-13.151543200295745,-5.873938359042031,7.442263797657822,11.10942894178326,9.58170944058201,-0.9919933525815994,6.035326650727413,1.3639826927226206,8.860318280928281,-5.671734948914741,-4.96949044026711,-0.09326204826226592,9.81636831579693,2.6181549535707394,4.9110120630820875,4.337087158866781,7.5276461314963905,-2.6763939876424114,2.0433850865833714,-0.7268848531284733,-1.9630792069039615,14.97165176249049,6.466237678888143,-0.6186568401839843,24.063897541810576,4.242906360200127,-4.304936888568922,8.20747964716302,4.053941088038626,4.306519231773986,4.567600755093726,13.236448128539745,-0.4824306834253944,-20.21917501830788,5.767175245241973,-11.134970006404432,14.431709005232074,-4.590598487961817,8.593570731353273,8.185874546916994,-7.861319674779288,6.679174655008091,-1.4179183493694736,-4.847382269714506,-2.2732743159706414,2.3474701269111886,1.3587301227403925,2.6121694264473083,8.70638027865227,-6.221372013363058,3.5020571318223226,26.89001176660717,-1.2784941240091774,12.956672853391126,14.71136218500213,9.046103369298208,-8.757859185260553,-3.575408533520552,4.34398688653248,2.8058383014484267,-1.557601223652838,-3.5328413767423683,0.037178414851712915,12.066273709568343,-7.047025525869377,6.735498737093981,-3.2722282722282725,4.3034169499993835,-5.351810876292584,2.660245759664326,3.9923701306487036,-4.925196878828486,-10.282991021845667,2.6672518265588474,6.143728503001578,-23.75250931362105,-3.276431760316645,-11.645921262241288,27.059597129750056,-6.061504624052039,-10.862189009783762,-9.345130582826322,-5.759470309709913,-12.989435256479709,22.77380625406902,-8.629878923214463,9.614769432062321,2.091195675834423,14.348037288458837,8.110796675057008,2.5467873963526566,3.23907994336623,-7.890726899285905,4.696344762680638,9.76782655173829,4.004385139407618,2.1455801332457725,13.89175127740745,2.0479805886374214,-2.9825949313549094,0.8228585379464359,9.52731655293202,-3.2445041513381345,-4.53524222981363,4.3865556476496925,0.037563497419568215,11.52897328156477,5.531771626226978,8.336748865953902,-10.686635257151178,-10.373094214756751,-3.0694820280155133,11.164730800522161,7.014294555445688,6.709513314943583,-2.1827348669553603,-4.117900731782209,11.226484981660544,-4.504135592915349,-1.0290686407351424,Actual adjusted month-end return from Yahoo/yfinance daily history,Market Table annual returns from the same adjusted daily history,"Sep 14, 2026 08:06:57 PM EDT"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Stock,-1.7581914519631536,5.369037970795398,11.252710995201465,-9.96184646067233,4.790166424644204,10.09106791326193,5.909249433765917,3.455736281798094,6.437023902162853,1.6672083432414109,-4.533748603923405,-3.1660312528105194,7.513015715657834,1.811684783178169,4.353369034182619,0.700353095081141,6.924737570014705,2.0901810605511217,2.8603816961410677,2.808718740782834,1.5688274979799743,12.729697557998353,-6.449336288067475,0.1262621817776477,14.274878672778058,-4.3257314518769014,0.9458081737575563,-12.134403829933504,0.6502291537189508,-2.074596400297035,12.718784303952212,5.799567312231835,1.2844449667604563,-13.722854210256452,-1.3385718190365714,-1.808943090642856,1.9235517614410558,3.8011794162690293,4.891159290368274,6.982395876461522,-12.482888727547415,5.459188468492737,8.833316152745407,0.0,9.816284888022754,11.080039359818672,2.8278116163740874,10.201317345646444,-7.160053844685931,-0.1853962130793807,-10.394880585693823,11.173892283940678,-5.270110124324856,13.638835354568712,38.9641968441786,0.45634322525156534,2.824684060423066,3.4538436054095456,15.678996812615331,12.863383874350976,11.445358975276765,3.6372691530584644,-5.728412798751048,-1.3019816633935588,0.5310845898570449,2.778593678619745,-2.929436262521623,2.031883772901777,-5.7989991399282514,1.8360757207372291,3.034306558706823,3.122222064301128,1.9283529835115276,-12.737514751008593,-2.0999348265139495,-10.867082858331411,2.550304619278876,-13.766434959705375,8.232427420111632,-5.797929402774516,-17.27926508469817,-10.224593143054616,34.81725875828974,-9.722589440493746,24.486506049179834,-6.103743695207431,7.389715779381456,-9.37432567177593,16.95136325318398,2.792066243019442,-1.7538627377406857,-5.62783266124095,-6.646337847751305,-0.6789374998576125,12.744743076084308,7.378617057309911,8.615389186108025,13.90756332719214,6.164997324216714,0.9481853403850771,9.975213353557134,15.438518948331659,-4.608472827055454,3.5584953628840843,1.5206822355236627,9.713815733355592,-3.085952461232766,7.287524367706322,5.990187795444846,-13.75406605962388,-7.69026438795245,0.4156601708999341,15.975753294903217,17.586470298432943,6.680209900138179,-4.4491431271389885,21.354501863139696,7.569184684300234,-2.9690840790357886,4.5282952773078256,Actual adjusted month-end return from Yahoo/yfinance daily history,Market Table annual returns from the same adjusted daily history,"Sep 14, 2026 08:06:57 PM EDT"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,Technology,Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Actual adjusted month-end return from Yahoo/yfinance daily history,Market Table annual returns from the same adjusted daily history,"Sep 14, 2026 08:06:57 PM EDT"
META,Meta Platforms Inc. Class A Common Stock,Technology,Stock,7.213827798759542,-4.714347954080356,6.715281389410266,3.0499637541047786,1.0460888084324882,-3.812814089069305,8.452926669968463,1.758924437493925,1.7047337632336568,2.120500758058852,-9.596143518730694,-2.8458065220981377,13.272494924427836,4.005525905991569,4.803005511148584,5.7726360370636165,0.8053217127470091,-0.3169413301820079,12.100935006305757,1.6071162064094313,-0.6396459471695537,5.378348811097289,-1.599469912345075,-0.4063650272570829,5.910677879225523,-4.585574597198461,-10.39143355931056,7.641300985652699,11.499992661580372,1.3244391542396539,-11.187745849248,1.8252464870324392,-6.413245590461713,-7.704020141092094,-7.365447223396304,-6.770484335886174,27.156942188809797,-3.1435850492113837,3.2456136754685616,16.0237401054806,-8.236811391743359,8.750763697904173,0.6373171697914515,-4.407148376359638,-4.087913053606962,7.620181596508968,5.212640508863875,1.790315691761113,-1.6272928873713122,-4.675348001522273,-13.337148140061794,22.727817615788503,9.955555595658549,0.8796570627880529,11.714445734388356,15.583235233437298,-10.675315885447867,0.4619951589424076,5.267772260922121,-1.3755972019664386,-5.429061777160071,-0.2748273562469983,14.327281479012255,10.372469607697932,1.1228096957694556,5.77372939172911,2.470442230815717,6.477706207824818,-10.540896205864225,-4.6612943020521875,0.27505022623210973,3.6645513249247808,-6.864875645423818,-32.634229160774275,5.368903846700901,-9.844397607071265,-3.4069907062805993,-16.726918772138454,-1.3333349879583123,2.40730200461281,-16.72499227668276,-31.33842939568562,26.771159480957827,1.896674937408993,23.790923142492115,17.433061477116453,21.150101548024438,13.390582134710606,10.153140014001583,8.408883296400038,11.018171079053518,-7.128067589885944,1.460017978799999,0.3530890730560676,8.590294437639434,8.19500294163813,10.221513320222764,25.762551210973463,-0.9283293290867078,-11.411090603379703,8.52219674232022,8.11658885600206,-5.828812128898242,9.788775216140188,9.912743585421824,-0.8490107349907294,1.1875145602968873,2.030626458448581,17.705938959212908,-3.044208832510531,-13.667659175378466,-4.7470301954408045,17.93990269394403,14.080214914481214,4.789377039420462,-4.491623705014569,-0.5177180450195995,-11.714643331245433,-0.06168941794297833,1.9566842209746138,Actual adjusted month-end return from Yahoo/yfinance daily history,Market Table annual returns from the same adjusted daily history,"Sep 14, 2026 08:06:57 PM EDT"
AVGO,Broadcom Inc. Common Stock,Technology,Stock,-7.881509423285083,0.19447130998015982,15.706152729347256,-5.663429466563519,5.907392261265021,0.9913717028624092,4.234213124115338,8.914689893459048,-1.9157157558941984,-1.298404757853,0.12332558800178806,4.276296955738146,12.858473910824575,5.729324817933379,4.277735875532795,0.8449036032317281,8.45523162890891,-2.2706044206737164,5.840007016573501,2.1932678724840615,-3.3874037841879145,8.810935135481923,5.316233272301241,-6.957228487427836,-3.452715729408695,-0.633000155850838,-2.9850841488778035,-2.643753689542716,9.872745994845488,-2.450190790870599,-8.601202982266686,-1.2355383310934664,13.492405828731858,-9.419161130922426,6.228446728949111,8.234491328193227,5.493946693830742,2.65049024387638,10.181657708616608,5.88273194551352,-20.96733148219596,15.490358951331018,0.7399486201516092,-2.534603054609086,-1.4257506732515357,6.078185069937092,7.976781476207306,0.9522439968145724,-3.4364980791496413,-10.663255294562624,-11.550794814767418,14.55924006344247,7.2343923997772785,9.472840572877494,0.36120090965152674,9.597502094089094,5.90275663605957,-4.032183194105787,14.85855881150191,9.960857649400356,2.889118676207314,4.299650448748227,-0.5502749155398501,-1.6089543231408543,3.535750367916801,1.7450669760424864,1.7951728893462748,2.433042283073439,-1.7550163972888555,9.638509569954245,4.139768137495148,20.948354481695517,-11.952047402246691,0.26626356283110386,7.91536613155015,-11.956869567848072,4.6429547629568635,-15.564176009652897,10.22414960863478,-6.792022991328828,-10.293703865686432,5.880499332532385,17.21048134958152,2.3166150768197946,4.628630263489053,1.5862873061215144,8.727638236463608,-2.344334008147597,28.964054688551588,7.932490149121585,3.599135971745926,2.6973862560159434,-9.512122230970787,1.2990816317445697,10.026523968811517,21.13495267341017,5.71110500161105,10.210995379449116,2.3502422438814508,-1.8967861161875987,2.1749540234289766,21.23201859934212,0.079097431400732,1.331848159305915,6.293663962820029,-1.5825890591469993,-4.529669101245426,43.42372250398101,-4.559170108141075,-9.870299643636905,-15.791686164531837,14.955507351825448,25.770248390221994,14.140030581866947,6.548168030550028,1.2563901519778264,11.125198134296955,12.03965118934498,9.017108752291602,-13.946226091925995,Actual adjusted month-end return from Yahoo/yfinance daily history,Market Table annual returns from the same adjusted daily history,"Sep 14, 2026 08:06:57 PM EDT"
